,latitude,longitude,max temp,humidity,cloudiness,wind speed,country,date
97,72.7868,-56.1549,-17.84,80,0,13.62,GL,1615179158
98,53.1436,0.3363,41.0,87,75,6.91,GB,1615179158
99,-2.5744,150.7967,81.88,77,100,8.48,PG,1615179159
100,-14.2672,-43.1619,72.81,78,33,3.53,BR,1615179159
101,18.4506,-72.2869,73.4,94,75,10.36,HT,1615179159
102,29.5667,-104.4167,62.6,39,1,13.8,MX,1615178942
103,-20.5167,57.5167,80.6,83,20,6.91,MU,1615179159
104,44.0787,-80.2041,8.01,79,13,4.74,CA,1615179160
105,-34.4187,19.2345,60.01,93,100,5.53,ZA,1615179160
106,33.7333,135.9833,51.8,93,75,9.22,JP,1615179161
107,-9.0763,143.2092,83.08,74,99,5.48,PG,1615179161
108,19.7297,-155.09,69.8,88,90,10.36,US,1615179069
109,56.038,-5.4321,46.99,78,100,5.01,GB,1615179161
110,43.7501,-81.7165,17.6,79,35,4.61,CA,1615179161
111,44.0167,87.3167,30.2,86,40,6.71,CN,1615179161
112,51.8175,3.9806,39.0,76,47,5.82,NL,1615179162
113,42.0304,-8.1588,39.99,84,70,8.99,PT,1615179162
114,59.3833,143.3,-2.78,83,0,7.61,RU,1615179162
115,62.456,-114.3525,-2.0,78,1,5.75,CA,1615178900
116,71.9167,114.0833,-26.95,83,17,2.8,RU,1615179163
117,-53.15,-70.9167,41.0,75,40,12.66,CL,1615179146
118,44.6453,-63.5724,21.99,76,27,1.01,CA,1615179123
119,18.9048,-3.5265,71.51,21,21,11.36,ML,1615179163
120,14.4,46.4667,69.89,23,0,1.03,YE,1615179163
121,18.217,-63.0578,78.8,78,20,9.22,AI,1615179164
122,-33.9258,18.4232,62.6,67,40,14.97,ZA,1615178882
123,48.6,133.8167,18.27,93,0,9.8,RU,1615179164
124,36.6167,101.7667,46.22,46,0,4.18,CN,1615179164
125,-21.3393,55.4781,84.2,70,40,5.75,RE,1615179165
126,73.5069,80.5464,-17.79,88,100,6.44,RU,1615179165
127,39.913,46.7903,34.52,87,99,2.84,AZ,1615179165
128,13.9835,10.2704,70.61,17,0,8.43,NE,1615179165
129,3.0707,172.7902,80.98,81,11,13.2,KI,1615179165
130,4.9247,6.2642,77.61,92,15,2.77,NG,1615179165
131,-33.6971,-53.4616,65.12,90,0,5.53,UY,1615179165
132,48.7555,-91.6216,35.69,93,100,7.74,CA,1615179166
133,71.6872,128.8694,-13.29,88,100,7.29,RU,1615179166
134,30.2131,-93.2044,48.2,76,1,4.61,US,1615179166
135,59.9816,45.7854,7.77,94,100,8.95,RU,1615179166
136,52.805,104.7508,26.6,68,40,11.18,RU,1615179166
137,-16.4833,-151.75,82.2,79,100,17.67,PF,1615179166
138,66.8333,70.8333,-23.98,86,100,10.25,RU,1615179167
139,62.0025,132.4325,-3.33,91,100,8.63,RU,1615179167
140,78.2186,15.6401,6.8,61,20,13.8,SJ,1615179167
141,29.6036,52.5388,53.6,26,0,0.81,IR,1615179167
142,65.8167,87.9833,-4.86,91,100,8.75,RU,1615179167
143,50.2536,-96.0612,36.0,99,60,5.01,CA,1615179168
144,47.4667,84.8667,27.86,95,92,2.51,KZ,1615179168
145,6.1241,81.1185,86.0,84,40,9.22,LK,1615179168
146,63.7256,8.834,30.2,80,0,8.05,NO,1615179168
147,-0.6,73.0833,83.46,65,1,8.84,MV,1615179168
148,-1.95,18.2667,72.18,88,100,6.71,CD,1615179168
149,8.5332,28.1004,73.42,18,11,4.79,SS,1615179169
150,-8.0089,-34.8553,78.8,73,40,3.44,BR,1615178923
151,58.0458,63.696,2.93,92,55,4.54,RU,1615179169
152,-16.7833,-151.5,82.0,79,100,17.4,PF,1615179169
153,50.3164,-122.8027,37.4,100,65,1.14,CA,1615179170
154,-21.2078,-159.775,78.8,94,75,17.27,CK,1615178899
155,63.7506,-68.5145,-2.2,78,90,2.3,CA,1615179170
156,66.0449,-17.3389,24.8,93,0,2.3,IS,1615179170
157,-34.0527,23.3716,62.65,85,93,5.73,ZA,1615179170
158,38.8876,-76.5119,30.99,74,1,7.74,US,1615179171
